id,name,ingredients,instructions,main_ingredients
0,"Vegetable Omelette","2 eggs n_l 1 small onion, chopped n_l 1 bell pepper, diced n_l 1 tomato, diced n_lSalt and pepper to taste","1. Heat oil in a frying pan.n_l2. Add chopped onion and saute for a few minutes until soft.n_l3. Add bell pepper and tomatoes, saute for a few minutes.n_l4. Beat the eggs in a bowl, add them to the vegetables in the pan.n_l5. Cook, stirring, until the eggs are set.n_l6. Season with salt and pepper.","eggs,onion,bell pepper,tomato"
1,"Spinach Omelette","3 eggs n_l50g spinach n_l30g grated cheese n_lSalt and pepper to taste","1. Heat a frying pan and lightly grease it.n_l2. Mix the eggs in a bowl, add spinach and grated cheese.n_l3. Season with salt and pepper, mix well.n_l4. Pour the mixture onto the heated frying pan.n_l5. Cook the omelette on both sides until nicely browned.","eggs,spinach,grated cheese"
2,"Avocado Toast","2 slices of bread n_l1 avocado, sliced n_lSalt and pepper to taste n_lLemon juice","1. Toast the bread slices in a dry pan.n_l2. Slice the avocado and drizzle it with lemon juice.n_l3. Season the avocado slices with salt and pepper.n_l4. Place the avocado slices on the toasted bread.n_l5. Serve immediately.","bread,avocado,lemon juice"
3,"Fruit Smoothie","1 banana n_l1 handful of blueberries n_l1/2 cup of milk n_l1 teaspoon honey","1. Place all ingredients in a blender.n_l2. Blend until smooth and creamy.n_l3. Taste and adjust sweetness if needed.n_l4. Pour into a glass and serve chilled.","banana,blueberries,milk,honey"
4,"Yogurt Parfait","1 cup yogurt n_l1/4 cup granola n_l1/2 cup mixed berries n_l1 tablespoon honey","1. In a glass or bowl, layer yogurt, granola, and mixed berries.n_l2. Drizzle with honey.n_l3. Repeat the layers until all ingredients are used.n_l4. Serve immediately or refrigerate for later.","yogurt,granola,berries,honey"
5,"Chocolate Brownies","1 cup butter n_l2 cups sugar n_l4 large eggs n_l1 teaspoon vanilla extract n_l1 cup all-purpose flour n_l1/2 cup cocoa powder n_l1/4 teaspoon salt n_l1 cup chopped nuts (optional)","1. Preheat the oven to 350°F (175°C) and grease a baking dish.n_l2. In a large bowl, melt the butter and stir in the sugar.n_l3. Beat in the eggs and vanilla extract.n_l4. In a separate bowl, mix the flour, cocoa powder, and salt.n_l5. Gradually add the dry ingredients to the butter mixture, mixing well.n_l6. Stir in the chopped nuts, if desired.n_l7. Pour the batter into the prepared baking dish.n_l8. Bake for 25-30 minutes or until a toothpick inserted into the center comes out with a few moist crumbs.n_l9. Allow to cool before cutting into squares.","butter,sugar,eggs,vanilla extract,flour,cocoa powder,salt,nuts"
6,"Strawberry Shortcake","2 cups all-purpose flour n_l1/4 cup sugar n_l1 tablespoon baking powder n_l1/2 teaspoon salt n_l1/2 cup cold unsalted butter, cut into small pieces n_l2/3 cup milk n_l1 teaspoon vanilla extract n_l2 cups sliced strawberries n_lWhipped cream","1. Preheat the oven to 425°F (220°C) and line a baking sheet with parchment paper.n_l2. In a large bowl, whisk together the flour, sugar, baking powder, and salt.n_l3. Cut in the cold butter using a pastry cutter or your fingers until the mixture resembles coarse crumbs.n_l4. Stir in the milk and vanilla extract until the dough comes together.n_l5. Turn the dough out onto a floured surface and knead it lightly.n_l6. Roll out the dough to about 1/2 inch thickness and cut out circles using a biscuit cutter.n_l7. Place the circles onto the prepared baking sheet and bake for 12-15 minutes or until golden brown.n_l8. Allow the shortcakes to cool completely.n_l9. To assemble, split the shortcakes in half and fill with sliced strawberries and whipped cream.n_l10. Place the top half of the shortcake on the filling and serve.","flour,sugar,baking powder,salt,butter,milk,vanilla extract,strawberries,whipped cream"
7,"Banana Split","1 ripe banana n_l3 scoops of ice cream (vanilla, chocolate, and strawberry) n_lChocolate sauce n_lWhipped cream n_lChopped nuts n_lMaraschino cherry","1. Peel the banana and split it lengthwise.n_l2. Place the banana halves in a serving dish.n_l3. Add a scoop of vanilla, chocolate, and strawberry ice cream between the banana halves.n_l4. Drizzle chocolate sauce over the ice cream.n_l5. Top with whipped cream, chopped nuts, and a maraschino cherry.n_l6. Serve immediately.","banana,ice cream,chocolate sauce,whipped cream,chopped nuts,cherry"
8,"Raspberry Cheesecake Bars","1 1/2 cups graham cracker crumbs n_l1/2 cup butter, melted n_l2 cups cream cheese n_l1 cup sugar n_l1 teaspoon vanilla extract n_l2 eggs n_l1 cup raspberry jam","1. Preheat the oven to 325°F (165°C) and line a baking dish with parchment paper.n_l2. In a bowl, combine the graham cracker crumbs and melted butter.n_l3. Press the mixture into the bottom of the baking dish to form the crust.n_l4. In a separate bowl, beat the cream cheese, sugar, and vanilla extract until smooth.n_l5. Add the eggs one at a time, beating well after each addition.n_l6. Pour the cream cheese mixture over the crust.n_l7. Drop spoonfuls of raspberry jam onto the cream cheese mixture.n_l8. Use a knife to swirl the jam into the cream cheese mixture.n_l9. Bake for 45-50 minutes or until the edges are set and the center is slightly jiggly.n_l10. Allow to cool completely before cutting into bars.","graham cracker crumbs,butter,cream cheese,sugar,vanilla extract,eggs,raspberry jam"
9,"Spaghetti Bolognese","8 oz spaghetti n_l1 lb ground beef n_l1 small onion, chopped n_l2 cloves garlic, minced n_l1 can diced tomatoes n_l2 tablespoons tomato paste n_l1 teaspoon dried oregano n_lSalt and pepper to taste n_lGrated Parmesan cheese","1. Cook the spaghetti according to package instructions.n_l2. In a large skillet, brown the ground beef with chopped onion and minced garlic.n_l3. Drain any excess fat.n_l4. Stir in diced tomatoes, tomato paste, dried oregano, salt, and pepper.n_l5. Simmer the sauce for 15-20 minutes, stirring occasionally.n_l6. Serve the spaghetti with the Bolognese sauce.n_l7. Sprinkle with grated Parmesan cheese.","spaghetti,ground beef,onion,garlic,diced tomatoes,tomato paste,dried oregano,salt,pepper,Parmesan cheese"
10,"Chicken Stir-Fry","2 boneless, skinless chicken breasts n_l2 tablespoons soy sauce n_l2 tablespoons oyster sauce n_l1 tablespoon cornstarch n_l1 tablespoon vegetable oil n_l2 cloves garlic, minced n_l1 teaspoon grated ginger n_l1 cup sliced mixed vegetables n_lSalt and pepper to taste n_lCooked rice","1. Slice the chicken breasts into thin strips.n_l2. In a bowl, whisk together soy sauce, oyster sauce, and cornstarch.n_l3. Heat vegetable oil in a wok or large skillet.n_l4. Add minced garlic and grated ginger, stir-fry for 1 minute.n_l5. Add chicken strips and cook until browned and cooked through.n_l6. Add sliced mixed vegetables and stir-fry for a few minutes until crisp-tender.n_l7. Pour the sauce mixture over the chicken and vegetables.n_l8. Stir well to coat everything in the sauce.n_l9. Season with salt and pepper.n_l10. Serve the stir-fry over cooked rice.","chicken breasts,soy sauce,oyster sauce,cornstarch,vegetable oil,garlic,ginger,mixed vegetables,salt,pepper,rice"
11,"Beef Tacos","1 lb ground beef n_l1 packet taco seasoning n_l1/4 cup water n_l8 small flour tortillas n_lTaco toppings (shredded lettuce, diced tomatoes, grated cheese, sour cream, salsa)","1. In a skillet, brown the ground beef over medium heat.n_l2. Drain any excess fat.n_l3. Add taco seasoning and water to the skillet.n_l4. Stir well and simmer for 5 minutes.n_l5. Warm the flour tortillas in a separate skillet or microwave.n_l6. Spoon the beef mixture onto the tortillas.n_l7. Top with shredded lettuce, diced tomatoes, grated cheese, sour cream, and salsa.n_l8. Fold the tortillas and serve.","ground beef,taco seasoning,water,flour tortillas,lettuce,tomatoes,cheese,sour cream,salsa"
12,"Vegetable Curry","1 tablespoon vegetable oil n_l1 small onion, chopped n_l2 cloves garlic, minced n_l1 tablespoon grated ginger n_l2 tablespoons curry powder n_l1 can coconut milk n_l2 cups mixed vegetables (carrots, bell peppers, peas, etc.) n_lSalt and pepper to taste n_lCooked rice","1. Heat vegetable oil in a large pot or skillet.n_l2. Add chopped onion, minced garlic, and grated ginger.n_l3. Sauté until the onion is soft and translucent.n_l4. Stir in curry powder and cook for 1 minute.n_l5. Add coconut milk and mixed vegetables.n_l6. Season with salt and pepper.n_l7. Simmer the curry for 15-20 minutes, or until the vegetables are tender.n_l8. Serve the vegetable curry over cooked rice.","vegetable oil,onion,garlic,ginger,curry powder,coconut milk,mixed vegetables,salt,pepper,rice"
13,"Baked Salmon","4 salmon fillets n_l2 tablespoons lemon juice n_l2 tablespoons melted butter n_l2 cloves garlic, minced n_l1 teaspoon dried dill n_lSalt and pepper to taste n_lLemon slices","1. Preheat the oven to 375°F (190°C) and grease a baking dish.n_l2. Place the salmon fillets in the baking dish.n_l3. In a small bowl, mix together lemon juice, melted butter, minced garlic, dried dill, salt, and pepper.n_l4. Pour the mixture over the salmon fillets.n_l5. Place lemon slices on top of each fillet.n_l6. Bake for 15-20 minutes or until the salmon is cooked through and flakes easily with a fork.n_l7. Serve the baked salmon with your choice of side dishes.","salmon fillets,lemon juice,butter,garlic,dried dill,salt,pepper,lemon slices"
14,"Pasta Carbonara","8 oz spaghetti n_l4 slices bacon, chopped n_l2 cloves garlic, minced n_l2 eggs n_l1/2 cup grated Parmesan cheese n_lSalt and pepper to taste n_lChopped parsley (optional)","1. Cook the spaghetti according to package instructions.n_l2. In a skillet, cook the chopped bacon until crispy.n_l3. Remove the bacon from the skillet and set aside.n_l4. In the same skillet, sauté minced garlic in the bacon fat.n_l5. In a bowl, whisk together eggs, grated Parmesan cheese, salt, and pepper.n_l6. Drain the cooked spaghetti and return it to the pot.n_l7. Pour the egg mixture over the hot spaghetti and toss to coat.n_l8. Add the cooked bacon and sautéed garlic, tossing well.n_l9. The heat from the spaghetti will cook the eggs and create a creamy sauce.n_l10. Serve the pasta carbonara with chopped parsley, if desired.","spaghetti,bacon,garlic,eggs,Parmesan cheese,salt,pepper,parsley"
15,"Lemon Herb Roasted Chicken","1 whole chicken n_l2 lemons n_l4 cloves garlic, minced n_l2 tablespoons olive oil n_l1 tablespoon dried herbs (such as thyme, rosemary, or oregano) n_lSalt and pepper to taste n_lChopped fresh herbs for garnish (optional)","1. Preheat the oven to 375°F (190°C).n_l2. Rinse the whole chicken and pat it dry with paper towels.n_l3. Cut one lemon into slices and stuff them into the chicken cavity.n_l4. In a small bowl, mix minced garlic, olive oil, dried herbs, salt, and pepper.n_l5. Rub the herb mixture all over the chicken, including under the skin.n_l6. Place the chicken in a roasting pan.n_l7. Squeeze the juice of the remaining lemon over the chicken.n_l8. Roast the chicken for 1 hour or until the internal temperature reaches 165°F (74°C).n_l9. Let the chicken rest for 10 minutes before carving.n_l10. Garnish with chopped fresh herbs, if desired.","whole chicken,lemons,garlic,olive oil,dried herbs,salt,pepper,fresh herbs"
16,"Beef and Broccoli Stir-Fry","1 lb flank steak, thinly sliced n_l1/4 cup soy sauce n_l2 tablespoons oyster sauce n_l1 tablespoon cornstarch n_l1 tablespoon vegetable oil n_l2 cloves garlic, minced n_l1 teaspoon grated ginger n_l2 cups broccoli florets n_lSalt and pepper to taste n_lCooked rice","1. In a bowl, combine soy sauce, oyster sauce, and cornstarch.n_l2. Add the sliced flank steak and marinate for 15-30 minutes.n_l3. Heat vegetable oil in a wok or large skillet.n_l4. Add minced garlic and grated ginger, stir-fry for 1 minute.n_l5. Add marinated beef slices and stir-fry until browned.n_l6. Add broccoli florets and stir-fry for a few minutes until crisp-tender.n_l7. Pour the sauce mixture over the beef and broccoli.n_l8. Stir well to coat everything in the sauce.n_l9. Season with salt and pepper.n_l10. Serve the stir-fry over cooked rice.","flank steak,soy sauce,oyster sauce,cornstarch,vegetable oil,garlic,ginger,broccoli,salt,pepper,rice"
17,"Honey Mustard Glazed Salmon","4 salmon fillets n_l3 tablespoons Dijon mustard n_l2 tablespoons honey n_l1 tablespoon soy sauce n_l2 cloves garlic, minced n_lSalt and pepper to taste n_lSliced green onions for garnish (optional)","1. Preheat the oven to 400°F (200°C) and line a baking sheet with parchment paper.n_l2. In a small bowl, whisk together Dijon mustard, honey, soy sauce, minced garlic, salt, and pepper.n_l3. Place the salmon fillets on the prepared baking sheet.n_l4. Brush the honey mustard glaze over the top of each fillet.n_l5. Bake for 12-15 minutes or until the salmon is cooked through and flakes easily with a fork.n_l","salomon, mustard, honey, soy sauce, garlic, green onion"
18,"Berry Smoothie Bowl","1 cup frozen mixed berries n_l1 ripe banana n_l1/2 cup Greek yogurt n_l1/4 cup almond milk n_l2 tablespoons honey n_lToppings: granola, sliced fresh berries, shredded coconut","1. In a blender, combine frozen mixed berries, ripe banana, Greek yogurt, almond milk, and honey.n_l2. Blend until smooth and creamy.n_l3. Pour the smoothie into a bowl.n_l4. Top with granola, sliced fresh berries, and shredded coconut.n_l5. Enjoy the berry smoothie bowl with a spoon.","frozen mixed berries,banana,Greek yogurt,almond milk,honey,granola,fresh berries,shredded coconut"
19,"Honey Mustard Glazed Salmon","4 salmon fillets n_l3 tablespoons Dijon mustard n_l2 tablespoons honey n_l1 tablespoon soy sauce n_l2 cloves garlic, minced n_lSalt and pepper to taste n_lSliced green onions for garnish (optional)","1. Preheat the oven to 400°F (200°C) and line a baking sheet with parchment paper.n_l2. In a small bowl, whisk together Dijon mustard, honey, soy sauce, minced garlic, salt, and pepper.n_l3. Place the salmon fillets on the prepared baking sheet.n_l4. Brush the honey mustard glaze over the top of each fillet, making sure to coat them evenly.n_l5. Bake for 12-15 minutes or until the salmon is cooked through and flakes easily with a fork.n_l6. Remove the salmon from the oven and let it rest for a couple of minutes.n_l7. Garnish with sliced green onions, if desired.n_l8. Serve the honey mustard glazed salmon hot with your favorite side dishes.n_l","salmon fillets,Dijon mustard,honey,soy sauce,garlic,salt,pepper,green onions"